	of	documents
some	of	the
some	of	which
some	old	episodes
some	pending	open
some	special	guests
some	way	or
some	would	be
somebody	else	he
somehow	the	victim
someone	close	to
someone	else	called
someone	would	consider
something	like	this
something	more	mundane
something	that	can
something	we	need
son	and	daughter
son	buford	a
son	honolulu	the
son	in	the
son	of	a
son	tony	zanbrano
son	was	being
song	i	m
song	nashville	a
song	that	declares
song	to	stop
sony	open	semifinals
soon	as	any
soon	as	attacked
soon	as	possible
soon	resumed	signing
sooner	police	chief
soundtrack	and	even
sources	said	the
south	area	city
south	bay	banks
south	broadway	in
south	bureau	which
south	el	monte
south	l	a
south	los	angeles
south	pasadena	monrovia
south	west	and
southeast	asia	as
southern	california	acting
southern	california	chapter
southern	california	no
southern	california	s
southern	california	used
southern	district	of
southern	part	of
span	several	decades
speak	for	themselves
speak	to	any
speaker	series	returns
speaker	series	when
speaker	series	with
speakers	conducting	discussions
special	agent	in
special	assignment	teams
special	assistant	to
special	celebrity	guest
special	circumstance	of
special	for	children
special	guests	as
special	needs	kids
special	prosecuting	agencies
specialist	attorneys	to
specialties	will	dominate
specifically	alleges	that
specifically	tailors	content
spectacular	flames	said
spectrum	of	intervention
speech	or	bullying
speed	removal	of
speed	removals	of
speeding	vehicle	went
speeds	blow	through
spin	on	its
split	decision	the
spokane	spokesman	review
spokane	wa	december
spoke	anonymously	to
spoke	of	worsening
spoke	thursday	night
spoken	to	since
spokesman	for	nfl
spokesman	for	the
spokesman	jake	smith
spokesman	review	of
spokesman	review	spokane
spokesman	said	in
spokesman	says	the
spokesman	thom	mrozek
spokesman	told	china
spokesman	told	the
spokesperson	for	the
spokeswoman	for	the
spokeswoman	jacqueline	yost
spokeswoman	nuria	venegas
spokeswoman	remi	braden
spokeswoman	the	former
sponsorship	donation	range
spouse	the	case
sprained	right	elbow
spraying	graffiti	on
spread	across	los
spread	very	swiftly
spreading	onto	the
spree	in	the
springs	for	distributing
springs	home	wednesday
springs	into	custody
springs	resident	and
sprinklers	in	nearby
spurgeon	all	of
spurring	worries	that
squad	constructed	a
squad	in	the
squad	rehder	recalled
squad	we	had
square	mile	territory
st	akron	oh
st	edition	section
st	louis	post
st	louis	san
staff	and	budget
staff	during	the
staff	have	been
staff	including	cleavon
staff	including	offensive
staff	of	deputy
staff	writer	mike
staff	writer	section
staffers	helped	children
stairwells	and	smouldering
stand	a	greater
standard	will	bring
standards	and	fight
star	chief	for
star	cliff	richard
star	defensive	back
star	had	hurled
star	is	questioned
star	monstrosities	another
star	news	california
star	news	inc
star	news	wilmington
star	s	hiv
star	s	home
star	sharper	arrested
star	was	not
star	yasiel	puig
starred	collins	as
stars	and	the
stars	in	maleficent
stars	in	the
stars	who	have
started	a	part
started	at	night
started	in	nearly
started	with	a
starting	in	it
starting	in	the
starts	this	year
state	and	city
state	and	federal
state	authorities	bustamante
state	authorities	the
state	court	the
state	for	sale
state	government	s
state	has	to
state	highway	patrol
state	l	a
state	length	words
state	of	the
state	on	thursday
state	prison	alignment
state	prosecutors	as
state	s	prisons
state	sen	loni
state	university	and
state	university	drive
state	university	long
state	university	los
state	usc	has
statement	issued	friday
statement	issued	sunday
statement	late	on
statement	nothing	is
statement	said	the
statement	saying	that
statement	saying	while
statement	that	nopd
statement	the	conviction
statement	the	name
statement	the	probationers
statement	to	law
states	and	also
states	and	mexican
states	attorney	andr
states	attorney	s
states	attorney	stephanie
states	beck	said
states	border	patrol
states	is	one
states	johnny	manziel
states	known	as
states	through	years
states	to	deal
station	saturday	he
station	says	the
station	two	other
stations	and	fast
statistic	on	usc
statistical	problem	not
statistics	after	an
statistics	are	also
statistics	on	crimes
statistics	passion	to
statistics	probability	models
status	and	calling
status	of	criminal
stay	here	anymore
stay	here	while
stay	temporarily	with
stay	the	course
stay	to	take
staying	at	his
staying	within	the
stays	the	ubiquitous
stealing	a	purse
stein	donor	type
stein	last	updated
steinhauser	and	daniel
stellar	academic	achievements
stemming	online	victimization
stephanie	yonekura	said
stephanie	yonekura	this
stephen	r	english
stephen	strasburg	and
sterling	a	lifetime
sterling	as	expeditiously
sterling	asked	what
sterling	facing	fresh
sterling	quick	condemnation
sterling	s	interview
sterling	said	loudly
sternberg	donor	type
sternberg	last	updated
steve	lopez	has
steve	sitkoff	a
steve	soboroff	president
steve	soboroff	said
steven	a	freeman
steven	a	marenberg
stevens	donor	type
stevens	last	updated
stevenson	donor	type
stevenson	last	updated
still	a	friend
still	beck	said
still	being	accused
still	employed	by
still	little	you
still	seeking	a
still	under	a
sting	of	child
sting	operation	investigators
stir	by	wearing
stockel	donor	type
stockel	last	updated
stolen	property	and
stolen	property	from
stolen	property	in
stomach	what	is
stop	accepting	that
stop	even	if
stop	it	spreading
stop	signs	and
stop	the	change
stop	the	four
stopped	after	the
stopping	hate	and
store	today	to
stored	in	a
stores	across	the
storey	fortress	style
story	editor	she
story	load	date
story	of	how
story	publication	type
straight	loss	falling
straight	months	there
straight	victory	syracuse
strangled	to	death
strasburg	and	patrick
strategies	council	i
strategies	that	will
strategy	the	plan
strategy	to	proceed
strategy	to	win
street	and	south
street	at	the
street	crime	the
street	drug	known
street	gang	charged
street	gang	members
street	gang	that
street	gangs	according
street	gangs	make
street	narcotics	dealing
street	prostitution	street
street	terrorism	all
street	where	they
streets	alongside	mayor
streets	and	gang
streets	and	place
streets	of	southern
streets	task	forces
streets	to	hurt
streets	we	can
stretch	our	resources
stretch	to	beat
stretched	he	said
strewn	alleyways	and
strict	set	of
stricter	sentences	each
string	of	burglaries
string	that	lasted
strip	conspired	to
strives	in	presenting
strode	up	to
stroke	ahead	of
strokes	back	during
stromberg	donor	type
stromberg	last	updated
strong	battle	against
strong	condemnation	of
strong	message	that
strong	reputation	with
strong	stomach	what
struck	a	tree
struck	by	gunfire
struck	down	a
struck	down	the
struck	in	the
struck	multiple	people
structure	the	december
structure	was	reportedly
structured	as	one
stude	donor	type
stude	last	updated
student	at	the
student	at	usc
student	body	on
student	cssa	claimed
student	found	dead
student	how	used
student	population	in
student	teams	from
student	who	asked
students	almost	everymonth
students	applying	to
students	are	often
students	are	put
students	as	well
students	at	usc
students	attended	in
students	being	held
students	dean	s
students	especially	chinese
students	face	on
students	from	universities
students	have	to
students	in	developing
students	in	los
students	in	the
students	interests	and
students	parents	filed
students	participating	in
students	receive	honors
students	received	scholarships
students	safe	and
students	safe	in
students	scholars	association
students	shades	program
students	to	address
students	to	become
students	to	engage
students	to	excel
students	to	rent
students	were	shot
study	and	practice
study	group	police
study	in	lab
studying	because	los
style	da	vinci
subject	of	criminal
subject	to	a
subject	to	severe
submit	their	request
subsequent	criminal	activity
subset	of	the
substance	abuse	treatment
substance	but	we
substances	and	three
substances	netting	million
substances	to	persons
substantial	assistance	during
substantial	role	towards
suburban	atlanta	couple
succeed	and	that
successes	in	other
successful	forensic	scientist
successful	in	defending
successfully	by	staying
such	a	malicious
such	as	bulletproof
such	as	drug
such	as	hydrocodone
such	as	littering
such	as	prostitution
such	as	rape
such	cases	that
such	partnerships	throughout
such	people	may
suck	the	life
sudie	bond	now
sue	basowski	of
suffered	a	head
sufficient	evidence	to
sufficiently	analogous	offense
suge	knight	is
suge	knight	walks
suge	knight	was
suggestion	a	csi
suggestions	that	the
suite	of	anti
suliman	al	bahlul
sullivan	donor	type
sullivan	last	updated
summary	donation	type
summer	break	in
summer	byline	by
summer	jobs	for
summer	many	chinese
summer	on	whether
summer	violent	crime
summer	yang	introduced
sun	failed	to
sun	must	forfeit
sun	of	counts
sun	profited	by
sun	seeking	drugs
sun	turned	himself
sun	was	ordered
sun	who	ran
sunday	and	june
sunday	aug	at
sunday	former	nfl
sunday	men	charged
sunday	morning	in
sunday	night	and
sunday	night	load
sunday	on	behalf
sunday	outside	the
sunday	safety	is
sunday	the	los
sunset	boulevard	said
sunset	strip	conspired
sunshine	kids	foundation
sunshine	kids	org
super	bowl	indianapolis
super	bowls	one
superb	the	center
superintendent	of	elementary
superior	court	he
superior	court	judge
superior	court	s
superior	court	too
superior	court	van
supervised	a	multi
supervising	bank	robbery
supervising	criminalist	head
supervision	in	los
supervision	under	the
supervisor	of	the
supervisors	the	work
supervisors	who	review
supnik	donor	type
supnik	last	updated
support	for	terrorism
support	lapd	chief
support	of	families
support	or	a
support	the	notion
support	will	be
supported	beck	and
supported	by	donors
supporters	credit	the
supporters	presented	as
supporting	education	including
supports	to	international
supposed	to	be
supposedly	controlled	by
supreme	court	in
sure	i	don
surgeon	who	has
surgery	james	whitmore
surgery	matt	harvey
surpass	alex	rodriguez
surrender	to	authorities
surrounding	counties	as
surveillance	images	during
surveillance	or	other
surveillance	tapes	recorded
survive	a	los
survive	authorities	are
survive	sgt	c
surviving	victim	of
susan	k	davidoff
susan	koehler	sullivan
susan	lee	which
susan	r	stockel
susan	skelding	couig
susan	steinhauser	and
suspect	and	declined
suspect	earned	the
suspect	in	an
suspect	s	cellphone
suspect	s	name
suspect	s	unusual
suspect	the	other
suspected	members	of
suspected	of	others
suspected	was	the
suspects	los	angeles
suspects	unless	they
suspended	by	nfl
suspended	first	round
suspended	in	late
suspended	without	pay
suspension	both	the
suspension	of	play
suspicion	many	people
suspicion	of	battery
suspicion	of	burglarizing
suspicion	of	burglary
suspicion	of	gun
suspicion	of	intoxicated
suspicion	of	rape
suspicion	that	the
suspicions	that	the
sustained	a	great
suv	and	arrested
suv	officials	think
suv	the	homeowner
suv	they	suspected
suzanne	v	wilson
swag	a	drake
swastikas	and	anti
swat	team	member
sweep	byline	brian
sweeping	sex	offenders
sweet	home	to
sweet	rachel	on
sweet	rachel	with
sweet	sweet	rachel
swift	donor	type
swift	last	updated
swiftly	two	thirds
switzer	donor	type
switzer	last	updated
swooped	on	the
sylmar	court	van
sylmar	san	fernando
sylmar	woodland	hills
symposium	a	day
symposium	addressed	a
symposium	also	includes
symposium	continues	to
symposium	length	words
symposium	will	also
symposium	will	provide
syndigate	info	an
syndigate	media	inc
syracuse	freshman	point
syrup	based	concoction
system	and	i
system	and	the
system	as	well
system	inc	all
system	including	several
system	long	beach
system	repeatedly	i
system	soboroff	said
system	something	that
system	throughout	los
system	used	to
system	what	makes
systems	of	san
t	attend	her
t	be	on
t	been	engaged
t	believe	how
t	believe	that
t	caught	and
t	gillett	donor
t	gillett	last
t	had	the
t	hahn	donor
t	hahn	last
t	heartney	donor
t	heartney	last
t	know	if
t	know	until
t	know	where
t	know	whether
t	need	me
t	say	we
t	seem	that
t	shih	donor
t	shih	last
t	spoken	to
t	stay	here
t	think	it
t	won	since
taback	memorial	endowment
tabe	donor	type
tabe	last	updated
tackle	vince	wilfork
tactics	here	to
taft	high	school
tagging	business	with
tailors	content	sessions
take	a	wait
take	action	to
take	care	of
take	much	away
take	one	year
take	responsibility	for
take	that	course
take	that	very
take	the	kids
take	three	to
take	to	months
takedown	including	the
taken	down	reed
taken	federal	authorities
taken	from	the
taken	into	custody
taken	into	protective
taken	to	columbus
takes	incidents	of
takes	place	p
takes	to	handle
talk	about	it
talk	about	we
talking	about	these
tandem	with	lacey
tapes	recorded	on
target	and	junious
target	children	with
target	donated	gift
target	in	support
target	of	the
target	staffers	helped
target	store	today
target	the	threat
target	women	who
targeted	bank	customers
targeted	by	online
targeted	customers	of
targeted	for	various
targeted	in	a
targeted	suspected	members
targeting	child	sex
targets	gun	and
tarnished	the	once
task	force	charged
task	force	had
task	force	icac
task	force	in
task	force	is
task	force	of
task	force	on
task	force	responsible
task	force	visited
task	force	which
task	forces	funded
taskforce	arrested	a
taskforce	is	made
taskforce	took	lorne
taskforce	which	also
tatar	said	mtv
tatar	watch	commander
tauheed	epps	is
tax	dollars	reclassifies
tax	hearing	successes
taxcode	url	http
taylor	donor	type
taylor	last	updated
teaching	assistant	for
team	failed	to
team	have	a
team	led	by
team	meeting	to
team	member	and
team	of	lawyers
team	other	units
team	with	target
teammate	mike	evans
teams	from	each
teams	from	south
teams	on	the
tech	age	are
technical	adviser	on
technique	reminiscent	of
technologies	student	teams
technology	an	orange
technology	has	enhanced
technology	ican	serves
technology	issues	that
teen	court	through
teen	idol	was
teen	was	imprisoned
teenage	driver	and
teenagers	riding	in
teens	a	focus
teens	face	everyday
teens	in	back
teens	on	target
teens	who	were
telecast	a	wacky
telephone	message	left
television	chef	rachael
television	q	a
television	show	csi
tell	you	l
tells	the	newspaper
temperatures	rising	at
temperatures	rising	show
temperatures	rising	was
temple	duarte	and
temporarily	lost	building
temporarily	with	my
temporary	suspension	both
tendon	has	tweeted
tennessee	city	renames
tennessee	has	changed
tennis	serena	williams
tens	of	thousands
teresa	a	beaudet
term	and	at
term	expired	in
term	many	residents
term	the	year
terminator	x	is
terms	of	what
terms	on	a
terms	targeting	child
territory	between	jefferson
territory	east	of
territory	said	united
terror	nettwork	and
terrorism	all	felonies
terrorism	and	solicitation
terrorism	section	said
terrorism	task	force
terrorist	attack	los
terrorist	group	but
terrorist	mastermind	osama
terrorized	a	housing
tested	another	sheriff
texas	a	m
texas	georgia	mississippi
texas	he	went
texas	lawmakers	announced
texas	open	to
th	amendment	crime
th	amendment	privacy
th	annual	cyber
th	circuit	one
th	consecutive	time
th	in	the
th	straight	loss
th	street	where
th	year	mr
thaddeus	harris	in
thailand	january	thursday
than	a	dozen
than	a	fourth
than	a	year
than	cal	state
than	child	pornography
than	child	predators
than	children	and
than	decades	ago
than	donald	sterling
than	educators	parents
than	families	affected
than	fbi	agents
than	for	controlled
than	in	the
than	it	reported
than	million	albums
than	new	freshmen
than	off	campus
than	reports	the
than	rounds	at
than	the	off
than	the	official
than	they	should
than	twenty	five
than	two	dozen
than	unaccompanied	minors
than	violent	offenses
than	we	ve
than	what	a
than	years	of
than	years	the
thanksgiving	when	the
that	a	defendant
that	a	long
that	a	total
that	afternoon	to
that	alleges	murders
that	allows	users
that	an	effective
that	arose	largely
that	at	this
that	battle	the
that	bore	the
that	but	if
that	can	be
that	can	keep
that	can	take
that	chinese	international
that	cities	like
that	city	police
that	claims	control
that	conducts	annual
that	course	when
that	crime	is
that	culminated	in
that	declares	rocky
that	destroyed	a
that	destroyed	high
that	digital	computer
that	director	mueller
that	dna	evidence
that	easily	achieve
that	employers	will
that	enough	resources
that	everyone	can
that	everyone	especially
that	had	killed
that	has	seen
that	has	worked
that	have	been
that	have	earned
that	he	assaulted
that	he	continues
that	he	looks
that	he	made
that	he	s
that	he	won
that	her	name
that	her	roommate
that	his	injury
that	i	am
that	i	d
that	i	have
that	if	guys
that	if	you
that	implicates	the
that	in	boston
that	in	the
that	include	fatal
that	included	a
that	included	assault
that	included	child
that	it	accomplishes
that	it	can
that	it	has
that	it	is
that	it	was
that	it	will
that	lasted	from
that	little	a
that	little	could
that	live	in
that	locking	up
that	lots	of
that	made	headlines
that	material	support
that	matter	regarding
that	members	of
that	michael	jace
that	my	office
that	nearly	violent
that	need	to
that	no	crime
that	nopd	is
that	north	of
that	oaklanders	stop
that	occurred	in
that	occurred	on
that	off	campus
that	on	campus
that	once	ruled
that	opens	up
that	our	students
that	outlines	two
that	passengers	were
that	period	but
that	police	and
that	police	must
that	police	need
that	ranked	th
that	regardless	of
that	role	he
that	runs	through
that	s	the
that	s	what
that	s	where
that	she	had
that	she	hopes
that	significant	but
that	since	the
that	statement	nothing
that	struck	down
that	support	will
that	targeted	bank
that	targeted	customers
that	terrorized	a
that	the	attack
that	the	blaze
that	the	books
that	the	broadway
that	the	canadian
that	the	defendant
that	the	department
that	the	eggs
that	the	el
that	the	enterprise
that	the	fire
that	the	gentleman
that	the	government
that	the	ground
that	the	hedding
that	the	nature
that	the	pop
that	the	popularity
that	the	proposition
that	the	prosecution
that	the	safety
that	the	star
that	their	cases
that	their	son
that	there	is
that	they	arrested
that	they	can
that	they	want
that	this	nightmare
that	usc	should
that	used	violence
that	utilizes	scientific
that	very	seriously
that	warrants	his
that	was	already
that	was	heavy
that	was	intended
that	was	that
that	was	unsealed
that	we	dealt
that	we	go
that	we	must
that	will	help
that	will	include
that	would	show
that	year	old
the	ability	of
the	ability	to
the	account	s
the	accused	gang
the	advancement	project
the	advice	to
the	advisory	board
the	aegis	of
the	agreement	had
the	akron	beacon
the	albuquerque	police
the	alcohol	fuelled
the	all	stars
the	allegation	that
the	alleged	egg
the	alleged	vandalism
the	almost	finished
the	always	flashy
the	american	airlines
the	amount	is
the	amount	of
the	anarchy	that
the	announcement	in
the	anti	defamation
the	apes	the
the	appeals	court
the	appellate	court
the	applicable	offenses
the	application	is
the	approach	to
the	arcadia	pasadena
the	archdiocese	of
the	areas	of
the	arrest	report
the	arrest	the
the	arrested	men
the	arrests	of
the	arson	ruling
the	art	hetzberg
the	assistant	director
the	assistant	special
the	associate	deputy
the	associated	press
the	atf	special
the	atlanta	area
the	attack	came
the	attack	may
the	attorneys	discuss
the	auspices	of
the	average	gain
the	average	heist
the	average	police
the	back	seat
the	backing	of
the	backlogged	immigration
the	bank	robbery
the	barrier	the
the	basement	for
the	basement	of
the	basepaths	during
the	benefits	of
the	benefits	that
the	best	advice
the	best	agency
the	best	possible
the	best	team
the	best	we
the	beverly	hills
the	big	hazard
the	big	things
the	biggest	international
the	bill	by
the	bismarck	tribune
the	blaze	reduced
the	blaze	was
the	block	of
the	bluegrass	standard
the	body	of
the	books	are
the	border	since
the	border	under
the	boy	s
the	brief	said
the	briefcase	and
the	broadway	crips
the	bruce	willis
the	buena	park
the	buford	couple
the	building	he
the	building	so
the	bulk	of
the	bullying	year
the	bureau	of
the	burglaries	after
the	business	officials
the	business	or
the	businesses	officials
the	businesses	were
the	cachet	to
the	california	department
the	california	endowment
the	california	forensic
the	campus	of
the	campus	where
the	canadian	teen
the	capability	to
the	capital	annapolis
the	car	s
the	car	to
the	case	argued
the	case	closely
the	case	could
the	case	early
the	case	goes
the	case	in
the	case	was
the	cases	after
the	cash	was
the	castaic	burglaries
the	cavs	to
the	cavs	went
the	center	includes
the	central	district
the	central	idea
the	change	in
the	charges	reed
the	charismatic	predecessor
the	chief	also
the	chief	executive
the	chief	of
the	chiller	channel
the	chines	community
the	christopher	dorner
the	city	had
the	city	has
the	city	of
the	city	police
the	city	responded
the	city	s
the	cleveland	cavaliers
the	clients	he
the	clients	some
the	clients	to
the	closer	mr
the	closest	theater
the	club	but
the	club	was
the	clubhouse	lead
the	coast	guard
the	cold	cases
the	comments	earned
the	commission	i
the	commissioner	added
the	commissioner	said
the	community	deciding
the	community	to
the	complete	directory
the	complexities	of
the	compound	effects
the	compstat	system
the	conduct	of
the	conspiracy	charge
the	consulate	general
the	contest	aims
the	contract	is
the	controversial	seven
the	conversation	for
the	conviction	came
the	correct	number
the	cough	syrup
the	count	indictment
the	country	defending
the	country	designed
the	country	was
the	county	from
the	county	of
the	couple	s
the	couple	were
the	courier	mail
the	course	at
the	course	of
the	court	harden
the	court	of
the	court	s
the	court	services
the	court	then
the	court	where
the	court	will
the	courts	that
the	crackdown	consisted
the	creation	of
the	crime	and
the	crime	as
the	crime	laboratories
the	crime	measures
the	crime	rate
the	crime	scene
the	crimes	charges
the	crimes	dogged
the	crimes	were
the	criminal	areas
the	criminal	complaint
the	criminal	defence
the	criminal	defense
the	criminal	justice
the	criminal	motorcycle
the	crowd	email
the	csi	producers
the	culmination	of
the	cyber	crime
the	cyber	safety
the	cyber	world
the	d	a
the	da	s
the	da	vinci
the	daily	news
the	damage	and
the	damage	to
the	damage	was
the	dangers	that
the	day	disabled
the	days	when
the	deal	the
the	death	penalty
the	december	blaze
the	decision	monday
the	decline	in
the	defendant	acted
the	defendant	has
the	defendants	face
the	defendants	named
the	demonstrators	and
the	denver	broncos
the	department	and
the	department	has
the	department	of
the	department	s
the	department	to
the	department	was
the	deputies	when
the	deputy	commissioner
the	detroit	tigers
the	developer	geoffrey
the	development	of
the	different	legal
the	differentiation	between
the	distinction	with
the	district	attorney
the	district	of
the	dna	unit
the	doctor	issued
the	dodgers	season
the	doj	when
the	domain	of
the	driver	year
the	driving	force
the	drop	definitely
the	drug	found
the	drugs	found
the	drugs	seizure
the	drugs	were
the	dual	ability
the	eagles	nest
the	early	s
the	east	bay
the	effort	load
the	egg	throwing
the	eggs	don
the	eggs	thompson
the	el	capitan
the	el	segundo
the	electrical	engineering
the	elks	of
the	email	or
the	emmy	award
the	end	of
the	enforcement	campaign
the	enterprise	has
the	entire	student
the	errors	stop
the	estranged	son
the	evening	a
the	event	knight
the	evidence	celebrity
the	ex	nba
the	executive	director
the	expanding	number
the	expansion	of
the	exploitation	of
the	extent	we
the	face	of
the	faces	of
the	facility	on
the	facility	with
the	fact	that
the	fall	of
the	fall	q
the	fan	area
the	fast	growing
the	father	he
the	father	ron
the	fbi	and
the	fbi	as
the	fbi	mr
the	fbi	participates
the	fbi	s
the	federal	building
the	federal	bureau
the	federal	indictment
the	federal	operation
the	federal	racketeer
the	felony	comes
the	felony	vandalism
the	field	of
the	field	to
the	field	who
the	film	or
the	final	reforms
the	final	robbery
the	final	seconds
the	final	two
the	findings	do
the	fines	issued
the	fire	the
the	fire	was
the	firm	are
the	firm	has
the	firm	have
the	firm	headed
the	firm	include
the	firm	is
the	firm	this
the	first	dialogue
the	first	fbi
the	first	federal
the	first	half
the	first	round
the	first	season
the	first	time
the	five	deuce
the	five	families
the	five	member
the	flagship	of
the	flight	was
the	fog	cleared
the	following	news
the	following	press
the	former	deputy
the	founder	of
the	four	men
the	four	star
the	frank	gehry
the	freedom	of
the	freeway	and
the	freeway	creating
the	front	lines
the	front	passenger
the	front	seat
the	full	spectrum
the	full	u
the	funds	i
the	gang	authorities
the	gang	because
the	gang	called
the	gang	capital
the	gang	committed
the	gang	have
the	gang	s
the	gang	seven
the	gang	sign
the	gang	was
the	gangs	that
the	gate	the
the	gentleman	was
the	georgia	division
the	getaway	vehicle
the	gold	coast
the	gov	george
the	government	of
the	government	offers
the	government	releases
the	governor	s
the	grammy	winner
the	grand	jury
the	gremlin	riderz
the	ground	before
the	ground	floor
the	growing	crisis
the	guadalupe	community
the	guardian	a
the	guardian	december
the	gunfire	tatar
the	handoff	of
the	hands	of
the	harbor	area
the	harbor	freeway
the	hate	and
the	haul	is
the	hawaii	island
the	hawthorne	police
the	hearing	load
the	heat	melted
the	hedding	law
the	height	of
the	heisman	trophy
the	hells	angels
the	help	of
the	heroes	helpers
the	high	court
the	holiday	season
the	holidays	can
the	hollywood	premiere
the	home	during
the	home	the
the	homeowner	described
the	homeowner	to
the	homes	while
the	hospital	which
the	hotspot	was
the	house	and
the	house	of
the	human	rights
the	hyde	park
the	idea	is
the	immediate	aftermath
the	impact	hub
the	imperial	county
the	importance	of
the	improper	and
the	inappropriate	touching
the	incident	jolie
the	incident	which
the	increase	in
the	indictment	alleges
the	indictment	along
the	indictment	named
the	indictment	out
the	indictment	specifically
the	indictment	unsealed
the	indictment	which
the	individual	and
the	infamous	show
the	influence	of
the	influx	of
the	inglewood	police
the	innocent	people
the	inspector	general
the	inter	agency
the	interagency	squad
the	internet	becoming
the	internet	officers
the	internet	some
the	internet	to
the	intersection	of
the	interview	cutting
the	interview	that
the	interviewer	attempted
the	investigation	had
the	investigation	into
the	investigation	los
the	investigation	was
the	irs	the
the	issues	that
the	jets	have
the	joint	terrorism
the	june	forum
the	justices	agreed
the	justices	ruled
the	justices	to
the	key	attributes
the	keynote	at
the	kia	classic
the	kidnapping	cells
the	kids	around
the	kids	that
the	la	fire
the	la	times
the	lapd	raising
the	lapd	replaced
the	lapd	s
the	lapd	solved
the	lapd	was
the	largest	drop
the	lasd	special
the	last	eleven
the	last	five
the	last	two
the	last	years
the	latest	in
the	latest	salvo
the	law	firm
the	law	the
the	law	unconstitutional
the	lead	counsel
the	league	that
the	leg	at
the	legal	know
the	legal	strives
the	level	of
the	life	out
the	ligament	transplant
the	line	of
the	line	to
the	links	inc
the	listed	homes
the	little	things
the	local	attorneys
the	logos	on
the	long	beach
the	los	angeles
the	lowest	since
the	lunch	break
the	mafia	and
the	mafia	the
the	mailbag	write
the	main	character
the	main	reason
the	main	target
the	major	crimes
the	man	arrested
the	man	from
the	man	got
the	man	ran
the	man	to
the	man	was
the	many	benefits
the	marine	corps
the	masters	two
the	material	he
the	may	draft
the	media	i
the	meeting	tuesday
the	men	committed
the	men	in
the	men	were
the	mentalist	a
the	mentalist	is
the	message	has
the	metropolitan	jail
the	mexican	mafia
the	midnight	bandit
the	million	seven
the	misclassifications	lapd
the	misclassifications	so
the	money	but
the	monterey	county
the	monterey	park
the	month	of
the	month	period
the	month	probe
the	monthlong	national
the	more	serious
the	morning	of
the	morning	yang
the	most	action
the	most	effective
the	most	habitual
the	most	recent
the	most	recognized
the	most	vulnerable
the	motel	owners
the	movie	maleficent
the	much	attention
the	murder	capital
the	murder	incident
the	murder	investigations
the	murders	of
the	museum	of
the	music	scene
the	name	has
the	name	of
the	name	samuel
the	narcotics	arrest
the	nation	based
the	nation	football
the	nation	its
the	nation	length
the	nation	s
the	nation	thailand
the	nation	the
the	nation	to
the	national	center
the	nature	of
the	nba	board
the	nba	draft
the	nba	family
the	nba	finals
the	nba	record
the	nba	s
the	necessary	laboratory
the	need	for
the	need	to
the	neighborhoods	they
the	neighbour	claiming
the	network	sunday
the	new	combathate
the	new	deal
the	new	law
the	new	series
the	new	temperatures
the	new	time
the	new	york
the	newman	government
the	newspaper	report
the	newspaper	reports
the	newspaper	that
the	next	three
the	next	years
the	nfl	from
the	nfl	last
the	nfl	network
the	nfl	with
the	nickname	refers
the	nightclub	with
the	nl	rookie
the	no	ranked
the	northern	section
the	notion	that
the	november	election
the	number	of
the	numbers	through
the	oak	club
the	off	campus
the	officer	s
the	officer	was
the	official	county
the	official	figure
the	oldest	is
the	once	clean
the	ongoing	investigation
the	only	asian
the	only	coach
the	operation	were
the	opportunity	to
the	orange	in
the	ordeal	is
the	ordinance	to
the	original	ncis
the	other	two
the	other	victims
the	outstanding	drama
the	overall	crime
the	owner	commissioner
the	owner	of
the	packed	town
the	packers	as
the	packers	he
the	pair	to
the	pardons	granted
the	parents	were
the	pasadena	police
the	passenger	on
the	past	decade
the	past	six
the	past	technology
the	past	to
the	past	two
the	past	year
the	past	years
the	patrol	identified
the	patrol	s
the	patrol	said
the	patrol	says
the	pending	matters
the	people	of
the	perpetrators	the
the	person	has
the	person	says
the	person	who
the	pga	championship
the	philadelphia	ers
the	phone	or
the	phrase	bank
the	pittsburgh	penguins
the	plaid	shirt
the	plan	that
the	plane	returned
the	players	slowly
the	playoffs	the
the	point	of
the	police	academy
the	police	chief
the	police	commission
the	police	officers
the	police	report
the	pop	star
the	popularity	of
the	position	what
the	possibility	of
the	premier	los
the	premises	was
the	prescriptions	for
the	prevention	identification
the	prison	realignment
the	privacy	rights
the	pro	bowl
the	probationers	arrested
the	probationers	contacted
the	probationers	on
the	probationers	were
the	probe	which
the	proceeds	of
the	process	however
the	profile	indicated
the	profile	was
the	program	coordinator
the	project	the
the	property	from
the	proposition	s
the	proposition	will
the	prosecution	cannot
the	prosecution	of
the	protection	of
the	public	report
the	public	through
the	purpose	of
the	pursuit	of
the	queensland	police
the	question	is
the	questions	it
the	racketeer	influenced
the	racketeering	indictment
the	raid	had
the	rally	on
the	rally	was
the	rampart	corruption
the	rapper	had
the	rapper	was
the	raymond	burr
the	real	estate
the	recession	reduced
the	record	at
the	red	carpet
the	reduction	in
the	region	saw
the	release	of
the	remaining	were
the	request	of
the	rest	of
the	rich	class
the	richest	contract
the	rico	legislation
the	right	course
the	rise	federal
the	road	and
the	robberies	detectives
the	robberies	often
the	robberies	stopped
the	robbery	case
the	robbery	spree
the	role	of
the	rollin	s
the	s	and
the	s	in
the	s	is
the	s	samuel
the	s	the
the	s	to
the	safe	streets
the	safest	in
the	safety	of
the	saints	after
the	same	apartment
the	same	challenges
the	same	criminals
the	same	name
the	same	period
the	san	bernardino
the	san	diego
the	san	fernando
